# Session Log (2025-09-23T17:03:50.7217134-07:00)
[17:03:50] PERF[SurfaceRealizationStart:MauiCollection]: target=50
[17:03:50] PERF[SurfaceRealizationStart:WinUIListView]: target=50
[17:03:50] PERF[SurfaceRealization:WinUIListView:1]: 31.58 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:2]: 53.64 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:3]: 56.97 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:4]: 59.61 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:5]: 62.12 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:6]: 65.48 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:7]: 68.99 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:8]: 72.01 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:9]: 75.28 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:10]: 78.66 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:11]: 81.40 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:12]: 85.64 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:13]: 88.77 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:14]: 92.44 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:15]: 95.47 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:16]: 98.39 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:17]: 101.36 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:18]: 104.22 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:19]: 107.01 ms
[17:03:50] PERF[SurfaceRealization:WinUIListView:20]: 109.48 ms
[17:03:50] PERF[SurfaceRealization:MauiCollection:1]: 267.17 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:2]: 280.33 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:3]: 287.30 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:4]: 315.84 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:5]: 323.28 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:6]: 330.24 ms
[17:03:51] PERF[SurfaceRealization:WinUIListView:21]: 333.40 ms
[17:03:51] PERF[SurfaceRealization:WinUIListView:22]: 336.76 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:7]: 373.66 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:8]: 381.97 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:9]: 388.66 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:10]: 396.28 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:11]: 453.95 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:12]: 466.43 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:13]: 474.80 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:14]: 481.98 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:15]: 517.61 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:16]: 546.96 ms
[17:03:51] PERF[SurfaceRealization:WinUIListView:23]: 750.53 ms
[17:03:51] PERF[SurfaceRealization:WinUIListView:24]: 752.94 ms
[17:03:51] PERF[SurfaceRealization:WinUIListView:25]: 777.36 ms
[17:03:51] PERF[SurfaceRealization:WinUIListView:26]: 779.93 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:17]: 814.20 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:18]: 820.69 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:19]: 827.04 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:20]: 856.20 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:21]: 1,095.12 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:22]: 1,108.70 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:23]: 1,198.63 ms
[17:03:51] PERF[SurfaceRealization:MauiCollection:24]: 1,224.34 ms
[17:03:52] PERF[SurfaceRealization:WinUIListView:27]: 1,465.89 ms
[17:03:52] PERF[SurfaceRealization:WinUIListView:28]: 1,468.93 ms
[17:03:52] PERF[SurfaceRealization:WinUIListView:29]: 1,489.63 ms
[17:03:52] PERF[SurfaceRealization:WinUIListView:30]: 1,492.76 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:25]: 1,523.59 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:26]: 1,531.50 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:27]: 1,555.88 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:28]: 1,796.05 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:29]: 1,803.63 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:30]: 1,811.10 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:31]: 1,841.02 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:32]: 1,849.11 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:33]: 1,857.13 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:34]: 1,864.28 ms
[17:03:52] PERF[SurfaceRealization:WinUIListView:31]: 1,863.51 ms
[17:03:52] PERF[SurfaceRealization:WinUIListView:32]: 1,866.19 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:35]: 1,908.00 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:36]: 1,915.51 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:37]: 1,923.33 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:38]: 1,953.59 ms
[17:03:52] PERF[SurfaceRealization:MauiCollection:39]: 1,961.92 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:33]: 2,299.69 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:34]: 2,302.34 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:35]: 2,328.10 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:36]: 2,330.40 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:40]: 2,370.70 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:41]: 2,377.24 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:42]: 2,383.42 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:43]: 2,415.34 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:44]: 2,660.03 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:45]: 2,671.23 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:46]: 2,676.89 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:47]: 2,711.60 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:48]: 2,716.83 ms
[17:03:53] PERF[SurfaceRealization:MauiCollection:49]: 2,721.26 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:37]: 2,724.25 ms
[17:03:53] PERF[SurfaceRealization:WinUIListView:38]: 2,727.50 ms
